songName,artistName,genreName,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
Ray Mysterio ,The Alchemist,alternative hip hop,0.605,0.717,0.805,0,0.29,-6.008,0.289,132.135
Roman Candles ,The Alchemist,alternative hip hop,0.117,0.514,0.734,0,0.0819,-7.037,0.119,90.776
Mac 10 Wounds ,The Alchemist,alternative hip hop,0.0841,0.507,0.823,0,0.479,-7.063,0.411,76.639
E. Coli ,The Alchemist,alternative hip hop,0.208,0.322,0.555,0.00437,0.325,-8.726,0.129,96.019
Ray Mysterio  Instrumental,The Alchemist,alternative hip hop,0.548,0.731,0.577,0.867,0.278,-8.449,0.0508,132.062
Roman Candles  Instrumental,The Alchemist,alternative hip hop,0.0552,0.349,0.515,0.51,0.0812,-11.917,0.0476,180.29
Mac 10 Wounds  Instrumental,The Alchemist,alternative hip hop,0.004,0.364,0.621,0.356,0.456,-9.06,0.0639,76.359
E. Coli  Instrumental,The Alchemist,alternative hip hop,0.0446,0.468,0.592,0.843,0.34,-12.305,0.0386,95.94
Exclusive Vibe ,The Alchemist,alternative hip hop,0.183,0.562,0.655,0.0000965,0.54,-8.163,0.0788,120.156
Uptown Aquarium ,The Alchemist,alternative hip hop,0.761,0.512,0.558,0.0000476,0.121,-10.931,0.26,146.544
Tropical Storm Lenny ,The Alchemist,alternative hip hop,0.457,0.603,0.638,0.0000068,0.665,-7.798,0.461,74.196
Sex in the FountainBleu ,The Alchemist,alternative hip hop,0.42,0.584,0.827,0,0.309,-6.239,0.293,89.515
Stugots ,The Alchemist,alternative hip hop,0.66,0.447,0.694,0.00000158,0.547,-9.363,0.382,84.93
Boat Shoes ,The Alchemist,alternative hip hop,0.776,0.457,0.598,0.000185,0.603,-9.719,0.296,97.711
Ocean Prime ,The Alchemist,alternative hip hop,0.735,0.583,0.604,0,0.724,-8.437,0.456,49.305
Harry O. ,The Alchemist,alternative hip hop,0.708,0.531,0.551,0.000113,0.156,-9.207,0.309,83.582
Sand Castles ,The Alchemist,alternative hip hop,0.728,0.462,0.579,0.000216,0.53,-8.025,0.183,99.646
Eastside ,The Alchemist,alternative hip hop,0.43,0.473,0.673,0.00000231,0.694,-7.317,0.251,144.992
Billy Dee ,The Alchemist,alternative hip hop,0.453,0.68,0.684,0,0.356,-11.09,0.283,91.147
The Floating Hotel ,The Alchemist,alternative hip hop,0.907,0.323,0.539,0.949,0.0684,-11.51,0.0566,122.953
